branch,cgpa,backlogs,coding_skills,dsa_score,aptitude_score,communication_skills,ml_knowledge,system_design,internships,projects_count,certifications,hackathons,open_source_contributions,extracurriculars,placement_status,salary_package_lpa
ECE,6.7,0,7.6,4.4,49.5,3.7,6.4,0.3,1,4,4,3,2,1,1,14.75
Chemical,5.7,0,5.4,7.9,72,8.3,6.3,1.9,0,4,0,0,0,0,0,
EE,7.19,0,5.6,6.8,79.1,7.4,4.4,5.2,1,3,2,1,2,0,1,19.06
CE,6.48,0,5.2,3.1,48.4,5,1.1,6.7,1,4,3,0,0,0,0,
CSE,6.71,1,5.9,4.7,61.2,4.3,2.7,2.8,1,2,0,3,0,1,1,13.42
CSE,6.21,1,6.7,6.5,69.9,5,4,5.2,2,3,3,2,0,1,1,16.47
CSE,7.91,0,7,3.9,61.5,6.7,4.9,2.2,2,5,2,1,0,3,1,16.51
IT,6.95,0,6.1,6,44.4,5.5,4.5,6.3,1,2,1,1,1,0,0,
CE,7.03,0,5.1,2.5,54.7,6.4,6.2,3.2,1,3,0,3,0,1,1,13.49
EE,7.34,3,4.7,6.2,78.8,5.9,6.7,5.2,1,2,1,1,0,0,1,17.95
CSE,7.12,0,4.3,10,71,5.2,2.4,4.1,0,1,2,1,1,0,1,19.63
Chemical,6.04,0,6.4,10,54.4,7,6.9,7.4,1,3,1,0,1,1,1,20.38
IT,7.16,2,9.3,6.6,88.9,3.9,0.1,6.3,3,3,0,1,0,2,1,21.08
CSE,6.14,0,6.4,9.3,56.6,5.9,3.4,3.1,3,2,1,3,2,0,1,20.26
CSE,7.67,3,4.9,9,70.1,6.3,4.6,1.5,0,2,0,3,0,0,1,15.68
CSE,7.37,2,4.3,7.7,82.4,8.8,6.6,4.7,2,1,0,0,1,1,0,
ECE,6.16,1,7,4.2,68.2,3.5,7.5,2.9,0,4,0,0,0,1,1,13.91
CE,6.24,0,4.3,3.6,60.6,5.6,4.9,7,1,4,2,0,0,1,0,
ME,6.82,1,6.9,3,92.2,4.1,2.4,5,1,3,3,0,0,1,1,14.58
ECE,8.68,1,5,6.4,78.9,5.9,2.2,7.5,1,2,1,0,0,2,1,17.51
CE,6.95,0,4.2,7.3,67.4,2.2,3.4,5.7,2,4,2,2,1,0,1,19.51
CSE,7.72,0,5.7,5.6,72.4,8.1,4.3,0.5,2,2,4,0,2,0,0,
ECE,4.85,0,4,7.3,65.3,5.8,3,3.5,0,5,1,0,0,2,0,
ECE,6.18,1,6.2,5.6,93.8,4.9,6.4,6.4,1,2,2,2,0,0,1,15.89
ME,7.81,3,7,3.1,62.9,5.6,4,3.5,1,2,1,0,1,1,0,
IT,8.48,0,6.4,4.7,51,4.6,5,3.8,1,1,2,0,0,1,1,19.6
CSE,8.83,0,7.2,8.3,76.7,7.2,7.8,0.2,1,2,0,3,0,3,1,22.55
ME,7.35,0,5.2,4.3,60.7,10,3.1,4,2,3,3,0,0,0,0,
